Rank,Song,Artist,Year,Lyrics,Source
1,believe,cher,1999, no matter how hard i try you keep pushing me aside and i cant break through theres no talking to you its so sad that youre leaving it takes time to believe it but after all is said and done youre gonna be the lonely onedo you believe in life after love i can feel something inside me say i really dont think youre strong enough do you believe in life after love i can feel something inside me say i really dont think youre strong enoughwhat am i supposed to do sit around and wait for you well i cant do that and theres no turning back i need time to move on i need a love to feel strong cause ive got time to think it through and maybe im too good for youdo you believe in life after love i can feel something inside me say i really dont think youre strong enough do you believe in life after love i can feel something inside me say i really dont think youre strong enoughwell i know that ill get through this cause i know that i am strong i dont need you anymore i dont need you anymore i dont need you anymore no i dont need you anymoredo you believe in life after love i can feel something inside me say i really dont think youre strong enough do you believe in life after love i can feel something inside me say i really dont think youre strong enough do you believe in life after love i can feel something inside me say i really dont think youre strong enough do you believe in life after love i can feel something inside me say i really dont think youre strong enough ,1
1,breathe,faith hill,2000, i can feel the magic floating in the air being with you gets me that way i watch the sunlight dance across your face and ive never been this swept awayall my thoughts just seem to settle on the breeze when im lying wrapped up in your arms the whole world just fades away the only thing i hear is the beating of your heartcause i can feel you breathe its washing over me and suddenly im melting into you theres nothing left to prove baby all we need is just to be caught up in the touch slow and steady rush baby isnt that the way that loves suppose to be i can feel you breathe just breathein a way i know my heart is waking up as all the walls come tumbling down closer than ive ever felt before and i know and you know theres no need for words right nowi can feel you breathe washing over me and suddenly im melting into you theres nothing left to prove baby all we need is just to be caught up in the touch slow and steady rush baby isnt that the way that loves suppose to be i can feel you breathe just breathecaught up in the touch slow and steady rush baby isnt that the way that loves suppose to be i can feel you breathe just breathei can feel the magic floating in the air being with you gets me that way ,1
1,hanging by a moment,lifehouse,2001, im desperate for changing starving for truth im closer to where i started chasing after youim falling even more in love with you letting go of all ive held onto im standing here until you make me move im hanging by a moment here with youforgetting all im lacking completely incomplete ill take your invitation you take all of menow im falling even more in love with you letting go of all ive held onto im standing here until you make me move im hanging by a moment here with youim livin for the only thing i know im running here and im not quite sure where to go and down i know id like to be in tune just hanging by a moment here with youtheres nothing else to lose theres nothing left to fly there is nothing in the world that can change my mind there is nothing else there is nothing else there is nothing elseim desperate for changing starving for truth im closer where i started im chasing after youim falling even more in love with you letting go of all ive held onto im standing here until you make me move im hanging by a moment here with youim livin for the only thing i know im running here and im not quite sure where to go and down i know id like to be in tune just hanging by a moment here with youjust hanging by a moment hanging by a moment hanging by a moment hanging by a moment here with you ,1
1,how you remind me,nickelback,2002, never made it as a wise man i couldnt cut it as a poor man stealing tired of living like a blind man im sick of sight without a sense of feeling and this is how you remind methis is how you remind me of what i really am this is how you remind me of what i really amits not like you to say sorry i was waiting on a different story this time im mistaken for handing you a heart worth breaking and ive been wrong ive been down into the bottom of every bottle these five words in my head scream are we having fun yetyet yet yet no no yet yet yet no noits not like you didnt know that i said i love you and i swear i still do and it must have been so bad cause living with him must have damn near killed youand this is how you remind me of what i really am this is how you remind me of what i really amits not like you to say sorry i was waiting on a different story this time im mistaken for handing you a heart worth breaking and ive been wrong ive been down into the bottom of every bottle these five words in my head scream are we having fun yetyet yet yet no no yet yet yet no no yet yet yet no no yet yet yet no nonever made it as a wise man i couldnt cut it as a poor man stealing and this is how you remind me this is how you remind methis is how you remind me of what i really am this is how you remind me of what i really amits not like you to say sorry i was waiting on a different story this time im mistaken for handing you a heart worth breaking and ive been wrong ive been down into the bottom of every bottle these five words in my head scream are we having fun yetyet yet are we having fun yet yet yet are we having fun yet yet yet are we having fun yet yet yet no no ,1
1,in da club,50 cent,2003, go go go go go go go shawty its your birthday we gon party like its yo birthday we gon sip bacardi like its your birthday and you know we dont give a fuck its not your birthdayyou can find me in the club bottle full of bub look mami i got the x if you into taking drugs im into having sex i aint into making love so come give me a hug if you into to getting rubbedyou can find me in the club bottle full of bub look mami i got the x if you into taking drugs im into having sex i aint into making love so come give me a hug if you into to getting rubbed    meaning  byjamesg   editor    in da club is a song performed by american rapper 50 cent and lead single for his debut studio album get rich or die tryin 2003 the song was written by    see all   when i pull out up front you see the benz on dubs when i roll twenty deep its twenty knives in the club niggas heard i fuck with dre now they want to show me love when you sell like eminem and the hoes they want to fuck but homie aint nothing change hold down gs up i see xzibit in the cutt that nigga roll that weed up if you watch how i move youll mistake me for a player or pimp been hit wit a few shells but i dont walk wit a limp in the hood then the ladies saying 50 you hot they like me i want them to love me like they love pac but holla in new york them niggasll tell ya im loco and the plan is to put the rap game in a choke hold im feelin focused man my money on my mind i got a mill out the deal and im still on the grind now shawty said she feeling my style she feeling my flow her girlfriend want to get bi and they ready to goyou can find me in the club bottle full of bub look mami i got the x if you into taking drugs im into having sex i aint into making love so come give me a hug if you into to getting rubbedyou can find me in the club bottle full of bub look mami i got the x if you into taking drugs im into having sex i aint into making love so come give me a hug if you into to getting rubbedmy flow my show brought me the dough that bought me all my fancy things my crib my cars my pools my jewels look nigga i came up and i aint changedand you should love it way more then you hate it nigga you mad i thought that youd be happy i made it im that cat by the bar toasting to the good life you that fagot ass nigga trying to pull me back right when my junk get to pumping in the club its on i wink my eye at ya bitch if she smiles she gone if the roof on fire let the motherfucker burn if you talking bout money homie i aint concerned im a tell you what banks told me cause go head switch the style up if the niggas hate then let em hate watch the money pile up or we go upside there wit a bottle of bub you know where we fucking beyou can find me in the club bottle full of bub look mami i got the x if you into taking drugs im into having sex i aint into making love so come give me a hug if you into to getting rubbedyou can find me in the club bottle full of bub look mami i got the x if you into taking drugs im into having sex i aint into making love so come give me a hug if you into to getting rubbeddont try to act like you aint know where we been either nigga in the club all the time nigga so its a problem pop off nigga gunit ,1
1,yeah,usher featuring lil jon and ludacris,2004, peace up atown down yeah ok lil jonyeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeahim in the club with my homies tryna get a lil vi keep it down on the low key cause you know how it feels i said shawty she was checkin up on me from the game she was spittin my ear youd think that she knew me so we decided to chillconversation got heavy she had me feelin like shes ready to blow watch out oh watch out she saying come get me come get me so i got up and followed her to the floor she said baby lets go when i told her i saidyeah yeah shawty got down an said come and get me yeah yeah i got so caught up i forgot she told me yeah yeah her and my girl would be the best of homies yeah yeah next thing i knew she was all up on me screamingyeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeahshes all up in my head now got me thinking that it might good idea to take her with me cause shes ready to leave now i gotta keep it real now cause on a onetoten shes a certified twenty and that just aint mecause i do know if i take that chance just where is it gonna lead but what i do know is the way she dance makes shawty alright with me the way she getting low im like yeah just work that out for me she asked for one more dance and im like yeah how the hell am i supposed to leave and i saidyeah yeah shawty got down an said come and get me yeah yeah i got so caught up i forgot she told me yeah yeah her and my girl would be the best of homies yeah yeah next thing i knew she was all up on me screamingyeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeahluda watch out my outfits ridiculous in the club lookin so conspicuous and rowl these women all on the prowl if you hold the head steady im a milk the cow forget about the game im a spit the truth i wont stop till i get em in they birthday suits so gimmie the rhythm and itll be off with they clothes then bend over to the front and touch your toes i left the jag and i took the rolls if they aint cutting then i put em on foot patrol how you like me now when my pinkys valued over three hundred thousand lets drank you the one to please ludacris fill cups like double ds me and ush once more and we leave em dead we want a lady in the street but a freak in the bed to sayyeah yeah shawty got down an said come and get me yeah yeah i got so caught up i forgot she told me yeah yeah her and my girl would be the best of homies yeah yeah next thing i knew she was all up on me screamingyeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeahtake that and rewind it back lil jon got the beat to make ya booty go take that and rewind it back usher got the voice make ya booty gotake that and rewind it back ludacris got the flow make ya booty go take that and rewind it back lil jon got the beat make ya booty go ,1
1,we belong together,mariah carey,2005, ooh ooh sweet love yeahi didnt mean it when i said i didnt love you so i should have held on tight i never shoulda let you go i didnt know nothing i was stupid i was foolish i was lying to myself i could not fathom that i would ever be without your love never imagined id be sitting here beside myself cause i didnt know you cause i didnt know me but i thought i knew everything i never feltthe feeling that im feeling now that i dont hear your voice or have your touch and kiss your lips cause i dont have a choice oh what i wouldnt give to have you lying by my side right here cause baby we belong together    meaning  byamandah   editor    talking with live nation tv mariah revealed the bobby womack lyric sample almost never came to be due to the cost they went with it anyways and now we    see all   when you left i lost a part of me its still so hard to believe come back baby please cause we belong togetherwho else am i gon lean on when times get rough whos gonna talk to me on the phone till the sun comes up whos gonna take your place there aint nobody better oh baby baby we belong togetheri cant sleep at night when you are on my mind bobby womacks on the radio saying to me if you think youre lonely now wait a minute this is too deep too deep i gotta change the station so i turn the dial trying to catch a break and then i hear babyface i only think of you and its breaking my heart im trying to keep it together but im falling apartim feeling all out of my element im throwing things crying trying to figure out where the hell i went wrong the pain reflected in this song it aint even half of what im feeling inside i need you need you back in my life babywhen you left i lost a part of me its still so hard to believe come back baby please cause we belong togetherwho else am i gon lean on when times get rough whos gonna talk to me on the phone till the sun comes up whos gonna take your place there aint nobody better oh baby baby we belong together babywhen you left i lost a part of me its still so hard to believe come back baby please cause we belong togetherwho am i gonna lean on when times get rough whos gonna talk to me till the sun comes up whos gonna take your place there aint nobody better oh baby baby we belong together ,1
1,bad day,daniel powter,2006, where is the moment when we needed the most you kick up the leaves and the magic is lost they tell me your blue skys faded to gray they tell me your passions gone away and i dont need no carrying onstand in the line just to hit a new low youre faking a smile with the coffee to go you tell me your lifes been way off line youre falling to pieces every time and i dont need no carrying oncause you had a bad day youre taking one down you sing a sad song just to turn it around you say you dont know you tell me dont lie you work at a smile and you go for a ride you had a bad day the camera dont lie youre coming back down and you really dont mind you had a bad day you had a bad daywell you need a blue sky holiday the point is they laugh at what you say and i dont need no carrying onyou had a bad day youre taking one down you sing a sad song just to turn it around you say you dont know you tell me dont lie you work at a smile and you go for a ride you had a bad day the camera dont lie youre coming back down and you really dont mind you had a bad daysometimes the system goes on the blink and the whole thing it turns out wrong you might not make it back and you know that you could be well oh that strong and im not wrongso where is the passion when you need it the most oh you and i you kick up the leaves and the magic is lostcause you had a bad day youre taking one down you sing a sad song just to turn it around you say you dont know you tell me dont lie you work at a smile and you go for a ride you had a bad day you see what you like and how does it feel one more time you had a bad day you had a bad day had a bad day had a bad day had a bad day ,1
1,irreplaceable,beyonce,2007,to the left to the left everything you own in the box to the left in the closet thats my stuff yes if i bought it baby please dont touch keep talking that mess thats fine could you walk and talk at the same time and its my mine name that is on that tag so remove your bags let me call you a cab standing in the front yard telling me how im such a fool talking about how ill never ever find a man like you you got me twisted you must not know bout me you must not know bout me i could have another you in a minute a matter fact hell be here in a minute baby you must not know bout me you must not know bout me i can have another you by tomorrow dont you ever for one second get to thinking youre irreplaceable so go ahead and get gone call up that chick and see if shes home oops i bet ya thought that i didnt know what did you think i was putting you out for because you were untrue rolling her around in the car that i bought you baby drop them keys hurry up before your taxi leaves standing in the front yard telling me how i am such a fool talking about how ill never ever find a man like you youve got me twisted you must not know bout me you must not know bout me i can have another you in a minute a matter fact hell be here in a minute baby you must not know bout me you must not know bout me ill can have another you by tomorrow dont you ever for a second get to thinking youre irreplaceable so since im not your everything how about ill be nothing nothing at all to you baby i wont shed one tear for you i wont lose a wink of sleep cause the truth of the matter is replacing you is so easy to the left to the left to the left to the left to the left to the left everything you own in the box to the left to the left to the left dont you ever for one second get to thinking get to thinking get to thinking youre irreplaceable you must not know bout me you must not know bout me i can have another you in a minute a matter fact hell be here in a minute baby you must not know bout me you must not know bout me i can have another you by tomorrow dont you ever for a second get to thinking you must not know bout me you must not know bout me i can have another you in a minute a matter fact hell be here in a minute you must not know bout me you must not know bout me i can have another you by tomorrow dont you ever for one second get to thinking youre irreplaceable,3
1,low,flo rida featuring tpain,2008, shawty had them apple bottom jeans jeans boots with the fur with the fur the whole club was lookin at her she hit the floor she hit the floor next thing you know shawty got low low low low low low low low them baggy sweat pants and the reeboks with the straps the straps she turned around and gave that big booty a smack a smack she hit the floor next thing you know shawty got low low low low low low low lowi aint never seen nothin thatll make me go this crazy all night spendin my dough had a million dollar vibe and a bottle to go dem birthday cakes they stole the show so sexual she was flexible professional drinkin x and o hold up wait a minute do i see what i think i whoa did i think i seen shawty get low aint the same when its up that close make it rain im makin it snow work the pole i got the bank roll ima say that i prefer them no clothes im into that i love women exposed she threw it back at me i gave her more cash aint a problem i know where it goesshawty had them apple bottom jeans jeans boots with the fur with the fur the whole club was lookin at her she hit the floor she hit the floor next thing you know shawty got low low low low low low low low them baggy sweat pants and the reeboks with the straps the straps she turned around and gave that big booty a smack a smack she hit the floor next thing you know shawty got low low low low low low low lowhey shawty what i gotta do to get you home my jeans full of gwap and they ready for stones cadillacs maybachs for the sexy grown patrone on the rocks thatll make you moan one stack come on two stacks come on three stacks come on now thats three grand what you think im playin baby girl im the man ill aint dealin rubber bands thats what i told her her legs on my shoulder i knew it was ova that henny and cola got me like a soldier she ready for rover i couldnt control her so lucky oh me i was just like a clover shawty was hot like a toaster sorry but i had to fold her like a pornography poster she showed hershawty had them apple bottom jeans jeans boots with the fur with the fur the whole club was lookin at her she hit the floor she hit the floor next thing you know shawty got low low low low low low low low them baggy sweat pants and the reeboks with the straps the straps she turned around and gave that big booty a smack a smack she hit the floor next thing you know shawty got low low low low low low low lowwhoa shawty yea she was worth the money lil mama took my cash and i aint want it back the way she bit that rag got her them paper stacks tattoo above her crack i had to handle that i was on it sexy woman let me shownin they be want it two in the mornin im zonin in them rosay bottles foamin she wouldnt stop made it drop shawty did that pop and lock had to break her off that gwap gal was fly just like my glockshawty had them apple bottom jeans jeans boots with the fur with the fur the whole club was lookin at her she hit the floor she hit the floor next thing you know shawty got low low low low low low low low them baggy sweat pants and the reeboks with the straps the straps she turned around and gave that big booty a smack a smack she hit the floor next thing you know shawty got low low low low low low low lowcmon ,1
1,boom boom pow,the black eyed peas,2009,gotta getget gotta getget gotta getget gotta ggggetgetget getget boom boom boom gotta getget boom boom boom gotta getget boom boom boom gotta getget boom boom boom gotta getget boom boom boom now boom boom boom now boom boom pow boom boom yo i got that hit that beat the block you can get that bass overload i got the that rock and roll that future flow that digital spit next level visual shit i got that boom boom pow how the beat bang boom boom pow i like that boom boom pow them chickens jackin my style they try copy my swagger im on that next shit now im so 3008 you so 2000 and late i got that boom boom boom that future boom boom boom let me get it now boom boom boom gotta getget boom boom boom gotta getget boom boom boom gotta getget boom boom boom gotta getget boom boom boom now boom boom boom now boom boom pow boom boom pow im on the supersonic boom yall hear the spaceship zoom when when i step inside the room them girls go apeshit uh yall stuck on super 8 shit that lowfi stupid 8 bit im on that hd flat this beat go boom boom bap im a beast when you turn me on into the future cybertron harder faster better stronger sexy ladies extra longer cause we got the beat that bounce we got the beat that pound we got the beat that 808 that the boom boom in your town people in the place if you wanna get down put your hands in the air william drop the beat now yup yup i be rockin them beats yup yup i be rockin them beats yyyup yup here we go here we go satellite radio yall gettin hit with boom boom beats so big im steppin on leprechauns shittin on yall with the boom boom shittin on yall you with the boom boom shittin on yall you with the this beat be bumpin bumpin this beat go boom boom let the beat rock let the beat rock let the beat rock this beat be bumpin bumpin this beat go boom boom i like that boom boom pow them chickens jackin my style they try copy my swagger im on that next shit now im so 3008 you so 2000 and late i got that boom boom boom that future boom boom boom let me get it now boom boom boom gotta getget boom boom boom gotta getget boom boom boom gotta getget boom boom boom gotta getget boom boom boom now boom boom boom now boom boom pow boom boom pow let the beat rock let the beat rock let the beat rock let the beat let the beat let the beat rock rock rock rock,3
1,tik tok,keha,2010, wake up in the morning feeling like p diddy hey what up girl grab my glasses im out the door im gonna hit this city lets go before i leave brush my teeth with a bottle of jack cause when i leave for the night i aint coming backim talking pedicure on our toes toes trying on all our clothes clothes boys blowing up our phones phones droptopping playing our favorite cds rollin up to the parties trying to get a little bit tipsydont stop make it pop dj blow my speakers up tonight ima fight till we see the sunlight ticktock on the clock but the party dont stop nodont stop make it pop dj blow my speakers up tonight ima fight til we see the sunlight ticktock on the clock but the party dont stop noaint got a care in world but got plenty of beer aint got no money in my pocket but im already here and now the dudes are lining up cause they hear we got swagger but we kick em to the curb unless they look like mick jaggerim talking about everybody getting crunk crunk boys tried to touch my junk junk gonna smack him if he getting too drunk drunknow now we goin till they kick us out out or the police shut us down down police shut us down down popo shut usdont stop make it pop dj blow my speakers up tonight ima fight till we see the sunlight ticktock on the clock but the party dont stop nodont stop make it pop dj blow my speakers up tonight ima fight till we see the sunlight ticktock on the clock but the party dont stop nodj you build me up you break me down my heart it pounds yeah you got me with my hands up you got me now you got that sound yeah you got medj you build me up you break me down my heart it pounds yeah you got me with my hands up put your hands up put your hands upnow the party dont start till i walk indont stop make it pop dj blow my speakers up tonight ima fight till we see the sunlight ticktock on the clock but the party dont stop nodont stop make it pop dj blow my speakers up tonight ima fight till we see the sunlight ticktock on the clock but the party dont stop no ,1
1,rolling in the deep,adele,2011, theres a fire starting in my heart reaching a fever pitch its bringing me out the dark finally i can see you crystal clear clean version go head and sell me out and ill lay your ship bare explicit version go head and sell me out and ill lay your shit bare see how i leave with every piece of you dont underestimate the things that i will dotheres a fire starting in my heart reaching a fever pitch and its bringing me out the darkthe scars of your love remind me of us they keep me thinking that we almost had it all the scars of your love they leave me breathless i cant help feeling we could have had it all youre gonna wish you never had met me rolling in the deep tears are gonna fall rolling in the deep you had my heart inside of your hand youre gonna wish you never had met me and you played it to the beat tears are gonna fall rolling in the deepbaby i have no story to be told but ive heard one on you and im gonna make your head burn think of me in the depths of your despair make a home down there as mine sure wont be sharedyoure gonna wish you never had met me the scars of your love remind me of us tears are gonna fall rolling in the deep they keep me thinking that we almost had it all youre gonna wish you never had met me the scars of your love they leave me breathless tears are gonna fall rolling in the deep i cant help feeling we could have had it all youre gonna wish you never had met me rolling in the deep tears are gonna fall rolling in the deep you had my heart inside of your hand youre gonna wish you never had met me and you played it to the beat tears are gonna fall rolling in the deep we could have had it all rolling in the deep you had my heart inside of your hand but you played it with a beatingthrow your soul through every open door woah count your blessings to find what you look for woah turn my sorrow into treasured gold woah youll pay me back in kind and reap just what you sow woah youre gonna wish you never had met me we could have had it all tears are gonna fall rolling in the deep we could have had it all youre gonna wish you never had met me it all it all it all tears are gonna fall rolling in the deepwe could have had it all youre gonna wish you never had met me rolling in the deep tears are gonna fall rolling in the deep you had my heart inside of your hand youre gonna wish you never had met me and you played it to the beat tears are gonna fall rolling in the deepwe could have had it all youre gonna wish you never had met me rolling in the deep tears are gonna fall rolling in the deep you had my heart inside of your hand youre gonna wish you never had met mebut you played it you played it you played it you played it to the beat ,1
1,somebody that i used to know,gotye featuring kimbra,2012, gotye now and then i think of when we were together like when you said you felt so happy you could die told myself that you were right for me but felt so lonely in your company but that was love and its an ache i still rememberyou can get addicted to a certain kind of sadness like resignation to the end always the end so when we found that we could not make sense well you said that we would still be friends but ill admit that i was glad it was over    meaning  byjamesg   editor    somebody that i used to know is a song by australian and belgianborn artist gotye real name wally de backer featuring new zealand singer kimbra it is the    see all   but you didnt have to cut me off make out like it never happened and that we were nothing and i dont even need your love but you treat me like a stranger and that feels so rough no you didnt have to stoop so low have your friends collect your records and then change your number i guess that i dont need that though now youre just somebody that i used to knownow youre just somebody that i used to know now youre just somebody that i used to knowkimbra now and then i think of all the times you screwed me over but had me believing it was always something that id done but i dont wanna live that way reading into every word you say you said that you could let it go and i wouldnt catch you hung up on somebody that you used to knowgotye but you didnt have to cut me off make out like it never happened and that we were nothing and i dont even need your love but you treat me like a stranger and that feels so rough and you didnt have to stoop so low have your friends collect your records and then change your number i guess that i dont need that though now youre just somebody that i used to knowsomebody i used to know somebody now youre just somebody that i used to knowi used to know that i used to know i used to know somebody ,1
1,thrift shop,macklemore and ryan lewis featuring wanz,2013, hook wanz im gonna pop some tags only got twenty dollars in my pocket i i im hunting looking for a come up this is fuckin awesomeverse one macklemore walk in the club like what up i got a big cock nah im just pumped up bought some shit from the thrift shop ice on the fringe is so damn frosty people like damn thats a cold ass honkey rolling in hella headed to the mezzanine dressed in all pink except my gator shoes those are green draped in a leopard mink girl standing next to me probably shoulda washed this smells like rkelly sheets piss but shit it was 99 cents buy it cop it and washing it bout to go and get some compliments passing up on those moccasinssomeone else has been walking in bummy and grungy fuck it i am stunting and flossing and saving my money and i am halla happy thats a bargain bitch imma take your grandpa style imma take your grandpa style no for real ask your grandpa can i have his handmedowns thank you velour jumpsuit and some house slippers dookie brown leather jacket that i found digging they had a broken keyboard i bought a broken keyboard i bought a ski blanket then i bought a knee board hello hello my ace man my mello john wayne aint got nothing on my fringe game hell no i could take some pro wings make them cool sell those the sneaker heads would be like ah he got the velcroshook wanz im gonna pop some tags only got twenty dollars in my pocket i i im hunting looking for a come up this is fuckin awesome 2xverse two macklemore what you know about rocking a wolf on your noggin what you knowing about wearing a fur fox skin im digging im digging im searching right through that luggage one mans trash thats another mans come up thank your granddad for donating that plaid button up shirt cause right now im up in her skirt im at the good will you can find me in the bins im that sucker sucker searching in the section your grammy your aunty your momma your mammy ill take those flannel zebra jammies second hand and ill rock that mother fucker the built in onsies with the socks on the mother fucker i hit the party and they stop in that mother fucker they be like oh that gucci thats hella tight im like yo thats fifty dollars for a tshirt limited edition lets do some simple addition fifty dollars for a tshirt thats just some ignorant bitch shit i call that getting swindled and pimped shit i call that getting tricked by a business that shirts hella dont and having the same one as six other people in this club is a hella dont peep game come take a look through my telescope trying to get girls from a brand man you hella wont man you hella wontlittle girl goodwill be popping tags yeahahahhook wanz im gonna pop some tags only got twenty dollars in my pocket i i im hunting looking for a come up this is fuckin awesomebridge wanz i wear your granddads clothes i look incredible im in this big ass coat from that thrift shop down the road i wear your granddads clothes i look incredible im in this big ass coat from that thrift shop down the roadhook wanz im gonna pop some tags only got twenty dollars in my pocket i i im hunting looking for a come up this is fuckin awesomelittle girl is that your grandmas coat hee hee ,1
1,happy,pharrell williams,2014, it might seem crazy what im about to say sunshine shes here you can take away im a hot air balloon i could go to space with the air like i dont care baby by the waybecause im happy clap along if you feel like a room without a roof because im happy clap along if you feel like happiness is the truth because im happy clap along if you know what happiness is to you because im happy clap along if you feel like thats what you wanna dohere come bad news talking this and that yeah give me all you got dont hold back yeah well i should probably warn you ill be just fine yeah no offense to you dont waste your time heres why    memory  byamandah   editor    in an indepth interview with oprah pharrell williams famously broke down into happy tears when describing the impact his signature song had on people    see all   because im happy clap along if you feel like a room without a roof because im happy clap along if you feel like happiness is the truth because im happy clap along if you know what happiness is to you because im happy clap along if you feel like thats what you wanna dohappy bring me down cant nothing bring me down love is too happy to bring me down cant nothing bring me down i said bring me down cant nothing bring me down love is too happy to bring me down cant nothing bring me down i saidbecause im happy clap along if you feel like a room without a roof because im happy clap along if you feel like happiness is the truth because im happy clap along if you know what happiness is to you because im happy clap along if you feel like thats what you wanna dobecause im happy clap along if you feel like a room without a roof because im happy clap along if you feel like happiness is the truth because im happy clap along if you know what happiness is to you because im happy clap along if you feel like thats what you wanna dohappy bring me down cant nothing bring me down love is too happy to bring me down cant nothing bring me down i saidbecause im happy clap along if you feel like a room without a roof because im happy clap along if you feel like happiness is the truth because im happy clap along if you know what happiness is to you because im happy clap along if you feel like thats what you wanna dobecause im happy clap along if you feel like a room without a roof because im happy clap along if you feel like happiness is the truth because im happy clap along if you know what happiness is to you because im happy clap along if you feel like thats what you wanna do ,1
1,uptown funk,mark ronson featuring bruno mars,2015, this hit that ice cold michelle pfeiffer that white gold this one for them hood girls them good girls straight masterpieces stylin whilen livin it up in the city got chucks on with saint laurent got kiss myself im so prettyim too hot hot damn called a police and a fireman im too hot hot damn make a dragon wanna retire man im too hot hot damn say my name you know who i am im too hot hot damn am i bad bout that money break it downgirls hit your hallelujah whoo girls hit your hallelujah whoo girls hit your hallelujah whoo cause uptown funk gon give it to you cause uptown funk gon give it to you cause uptown funk gon give it to you saturday night and we in the spot dont believe me just watch come ondont believe me just watch uhdont believe me just watch dont believe me just watch dont believe me just watch dont believe me just watch hey hey hey oh    meaning  byamandah   editor    70s girl group the sequence accused bruno mars and producer mark ronson of ripping their sound off in uptown funk their song in question is funk you    see all   stop wait a minute fill my cup put some liquor in it take a sip sign a check julio get the stretch ride to harlem hollywood jackson mississippi if we show up we gon show out smoother than a fresh jar of skippyim too hot hot damn called a police and a fireman im too hot hot damn make a dragon wanna retire man im too hot hot damn bitch say my name you know who i am im too hot hot damn am i bad bout that money break it downgirls hit your hallelujah whoo girls hit your hallelujah whoo girls hit your hallelujah whoo cause uptown funk gon give it to you cause uptown funk gon give it to you cause uptown funk gon give it to you saturday night and we in the spot dont believe me just watch come ondont believe me just watch uhdont believe me just watch uh dont believe me just watch uh dont believe me just watch dont believe me just watch hey hey hey ohbefore we leave lemmi tell yall a lil something uptown funk you up uptown funk you up uptown funk you up uptown funk you up uh i said uptown funk you up uptown funk you up uptown funk you up uptown funk you upcome on dance jump on it if you sexy then flaunt it if you freaky then own it dont brag about it come show mecome on dance jump on it if you sexy then flaunt it well its saturday night and we in the spot dont believe me just watch come ondont believe me just watch uhdont believe me just watch uh dont believe me just watch uh dont believe me just watch dont believe me just watch hey hey hey ohuptown funk you up uptown funk you up say what uptown funk you up uptown funk you up uptown funk you up uptown funk you up say what uptown funk you up uptown funk you up uptown funk you up uptown funk you up say what uptown funk you up uptown funk you up uptown funk you up uptown funk you up say what uptown funk you up ,1
